State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
ACT,PHN801,Australian Capital Territory,2015-16,2 years,"5,679","5,215",464,134,112,22,,,,,
ACT,PHN801,Australian Capital Territory,2014-15,2 years,"5,525","5,051",474,124,105,19,,,,,
ACT,PHN801,Australian Capital Territory,2016-17,2 years,"5,761","5,300",461,141,125,16,,,,,
ACT,PHN801,Australian Capital Territory,2012-13,1 year,"5,381","4,989",392,113,101,12,,,,,
ACT,PHN801,Australian Capital Territory,2013-14,1 year,"5,513","5,128",385,125,112,13,,,,,
ACT,PHN801,Australian Capital Territory,2012-13,2 years,"5,318","4,955",363,120,109,11,,,,,
ACT,PHN801,Australian Capital Territory,2015-16,5 years,"5,548","5,188",360,128,117,11,,,,,
ACT,PHN801,Australian Capital Territory,2012-13,5 years,"5,104","4,710",394,111,103,8,,,,,
ACT,PHN801,Australian Capital Territory,2014-15,1 year,"5,654","5,250",404,127,118,9,,,,,
ACT,PHN801,Australian Capital Territory,2015-16,1 year,"5,657","5,343",314,139,130,9,,,,,
ACT,PHN801,Australian Capital Territory,2013-14,5 years,"5,158","4,779",379,94,88,6,#,,,,
ACT,PHN801,Australian Capital Territory,2013-14,2 years,"5,446","5,070",376,113,107,6,,,,,
ACT,PHN801,Australian Capital Territory,2016-17,5 years,"5,705","5,358",347,120,114,6,,,,,
ACT,PHN801,Australian Capital Territory,2014-15,5 years,"5,558","5,180",378,122,116,6,,,,,
ACT,PHN801,Australian Capital Territory,2016-17,1 year,"5,721","5,437",284,125,119,6,,,,,
NSW,PHN103,Western Sydney,2012-13,1 year,"14,086","12,723","1,363",234,192,42,,,,,
NSW,PHN107,Western NSW,2012-13,1 year,"4,225","3,824",401,849,698,151,,,,,
NSW,PHN103,Western Sydney,2013-14,1 year,"14,614","12,999","1,615",234,195,39,,,,,
NSW,PHN106,South Eastern NSW,2012-13,1 year,"6,811","6,240",571,449,375,74,,,,,
NSW,PHN101,Central and Eastern Sydney,2012-13,1 year,"19,371","17,507","1,864",201,169,32,,,,,
NSW,PHN103,Western Sydney,2012-13,2 years,"13,863","12,739","1,124",209,176,33,,,,,
NSW,PHN109,North Coast,2012-13,1 year,"5,640","4,856",784,610,515,95,,,,,
NSW,PHN105,South Western Sydney,2013-14,1 year,"13,870","12,302","1,568",291,247,44,,,,,
NSW,PHN103,Western Sydney,2015-16,2 years,"14,789","13,139","1,650",286,243,43,,,,,
NSW,PHN110,Murrumbidgee,2012-13,1 year,"3,020","2,784",236,262,223,39,,,,,
NSW,PHN109,North Coast,2013-14,1 year,"5,567","4,805",762,642,548,94,,,,,
NSW,PHN101,Central and Eastern Sydney,2013-14,5 years,"17,400","15,682","1,718",202,173,29,,,,,
NSW,PHN105,South Western Sydney,2012-13,1 year,"13,482","12,174","1,308",245,210,35,,,,,
NSW,PHN103,Western Sydney,2014-15,2 years,"14,841","12,984","1,857",261,224,37,,,,,
NSW,PHN103,Western Sydney,2014-15,1 year,"14,562","12,899","1,663",276,237,39,,,,,
NSW,PHN106,South Eastern NSW,2014-15,2 years,"6,963","6,293",670,463,398,65,,,,,
NSW,PHN107,Western NSW,2013-14,1 year,"4,310","3,912",398,859,740,119,,,,,
NSW,PHN104,Nepean Blue Mountains,2013-14,1 year,"5,040","4,530",510,202,175,27,,,,,
NSW,PHN103,Western Sydney,2016-17,2 years,"14,899","13,213","1,686",306,266,40,,,,,
NSW,PHN104,Nepean Blue Mountains,2014-15,2 years,"5,166","4,556",610,246,215,31,,,,,
NSW,PHN101,Central and Eastern Sydney,2012-13,2 years,"18,749","17,085","1,664",193,169,24,,,,,
NSW,PHN110,Murrumbidgee,2014-15,2 years,"3,060","2,834",226,266,233,33,,,,,
NSW,PHN104,Nepean Blue Mountains,2012-13,1 year,"4,923","4,516",407,162,142,20,,,,,
NSW,PHN103,Western Sydney,2015-16,1 year,"14,592","13,348","1,244",310,272,38,,,,,
NSW,PHN104,Nepean Blue Mountains,2012-13,2 years,"4,951","4,605",346,189,166,23,,,,,
